No.,Ticker,Company,Sector,Mkt Cap Cat,For P/E Cat,Dividend,EPS growth this year (%) Cat,EPS growth next year (%) Cat,EPS growth past 5 years (%) Cat,EPS growth next 5 years (%) Cat,Sales growth past 5 years (%) Cat,Sales Cat,Float Short (%) Cat,Profit Margin (%) Cat,Performance (Year) (%) Cat,Employees Cat,Analyst Rec Cat,Team Rec Cat,Risk,Volume Cat,Var % Cat,Var%
1,AAPL,Apple Inc.,Technology,Mg Cap,Med,Yes,Yes,Yes,Yes,Yes,Yes,Hi,Lo,Pos,Up,Hi,Buy,Buy,Lo,Hi,Neg,-1.2
2,ACN,Accenture plc,Technology,Lg Cap,Med,Yes,Yes,Yes,Yes,Yes,Yes,Hi,Lo,Pos,Up,Hi,Buy,Buy,Lo,Med,Pos,5.3
3,ADBE,Adobe Inc.,Technology,Lg Cap,Hi,No,Yes,Yes,Yes,Yes,Yes,Med,Lo,Pos,Up,Med,Buy,Buy,Lo,Med,Neg,-0.3
4,ADSK,"Autodesk, Inc.",Technology,Lg Cap,Med,No,Yes,Yes,Yes,Yes,Yes,Med,Lo,Pos,Down,Med,Buy,Buy,Lo,Lo,Pos,9.1
5,AI,"C3.ai, Inc.",Technology,Mid Cap,Hi,No,No,Yes,No,Yes,Yes,Lo,Hi,Neg,Up,Sm,Hold,Hold,Med,Hi,Neg,-36
6,AMAT,"Applied Materials, Inc.",Technology,Lg Cap,Med,Yes,Yes,No,Yes,Yes,Yes,Hi,Lo,Pos,Up,Med,Buy,Hold,Med,Med,Neg,-6.5
7,AMD,"Advanced Micro Devices, Inc.",Technology,Lg Cap,Med,No,No,Yes,Yes,Yes,Yes,Hi,Lo,Pos,Up,Med,Buy,Buy,Lo,Hi,Pos,13.6
8,AMZN,"Amazon.com, Inc.",Consumer Cyclical,Lg Cap,Hi,No,No,Yes,No,Yes,Yes,Hi,Lo,Pos,Down,Hi,Buy,Buy,Lo,Hi,Pos,8.7
9,ANET,"Arista Networks, Inc.",Technology,Lg Cap,Med,No,Yes,Yes,Yes,Yes,Yes,Med,Lo,Pos,Up,Sm,Buy,Buy,Lo,Hi,Neg,-7
10,ANSS,"ANSYS, Inc.",Technology,Lg Cap,Hi,No,Yes,Yes,Yes,Yes,Yes,Med,Lo,Pos,Up,Med,Buy,Hold,Med,Lo,Pos,0.5
11,ASML,ASML Holding N.V.,Technology,Lg Cap,Med,Yes,No,Yes,Yes,Yes,Yes,Hi,Lo,Pos,Up,Med,Buy,Buy,Lo,Lo,Pos,7.1
12,AUR,"Aurora Innovation, Inc.",Technology,Mid Cap,Low,No,No,Yes,Yes,Yes,Yes,Lo,Med,Pos,Up,Sm,Buy,Hold,Med,Med,Pos,48.8
13,AVGO,Broadcom Inc.,Technology,Lg Cap,Med,Yes,Yes,Yes,Yes,Yes,Yes,Hi,Lo,Pos,Up,Med,Buy,Buy,Lo,Med,Neg,-4.3
14,BA,The Boeing Company,Industrials,Lg Cap,Hi,No,No,Yes,No,Yes,No,Hi,Lo,Neg,Up,Hi,Buy,Hold,Med,Med,Pos,4.1
15,BABA,Alibaba Group Holding Limited,Consumer Cyclical,Lg Cap,Med,No,Yes,Yes,Yes,Yes,Yes,Hi,Lo,Pos,Up,Hi,Buy,Buy,Lo,Hi,Pos,37
16,BBAI,"BigBear.ai Holdings, Inc.",Technology,Sm Cap,Low,No,Yes,Yes,Yes,Yes,Yes,Lo,Hi,Neg,Down,Sm,Buy,Sell,Hi,Med,Pos,135.8
17,BIDU,"Baidu, Inc.",Communication Services,Lg Cap,Med,No,No,Yes,No,Yes,Yes,Med,Lo,Pos,Up,Med,Buy,Sell,Hi,Med,Pos,17.6
18,BRN,"Barnwell Industries, Inc.",Energy,Mic Cap,Low,Yes,No,No,Yes,Yes,Yes,Lo,Lo,Pos,Up,Sm,Hold,Sell,Hi,Lo,Pos,0
19,CDNS,"Cadence Design Systems, Inc.",Technology,Lg Cap,Hi,No,Yes,Yes,Yes,Yes,Yes,Med,Lo,Pos,Up,Med,Buy,Hold,Med,Med,Pos,11.1
20,COUR,"Coursera, Inc.",Consumer Defensive,Mid Cap,Hi,No,Yes,Yes,Yes,Yes,Yes,Lo,Med,Neg,Up,Sm,Buy,Hold,Med,Med,Pos,13.6
21,CRM,"Salesforce, Inc.",Technology,Lg Cap,Med,No,No,Yes,No,Yes,Yes,Hi,Lo,Pos,Up,Hi,Buy,Buy,Lo,Med,Pos,7.4
22,CRNC,Cerence Inc.,Technology,Sm Cap,Med,No,No,Yes,No,Yes,Yes,Lo,Med,Neg,Down,Sm,Buy,Sell,Hi,Lo,Pos,18.3
23,CRWD,"CrowdStrike Holdings, Inc.",Technology,Lg Cap,Hi,No,Yes,Yes,No,Yes,Yes,Med,Med,Neg,Down,Med,Buy,Sell,Hi,Med,Pos,7.3
24,DE,Deere & Company,Industrials,Lg Cap,Med,Yes,Yes,Yes,Yes,Yes,Yes,Hi,Lo,Pos,Up,Hi,Buy,Buy,Lo,Med,Pos,3.3
25,DT,"Dynatrace, Inc.",Technology,Lg Cap,Hi,No,Yes,Yes,Yes,Yes,Yes,Med,Med,Pos,Up,Sm,Buy,Sell,Hi,Med,Neg,-4.3
26,DUOT,"Duos Technologies Group, Inc.",Technology,Mic Cap,Low,No,Yes,Yes,Yes,Yes,Yes,Lo,Lo,Neg,Up,Sm,Buy,Hold,Med,Lo,Pos,41.7
27,ENPH,"Enphase Energy, Inc.",Technology,Lg Cap,Med,No,Yes,Yes,Yes,Yes,Yes,Med,Med,Pos,Down,Sm,Buy,Hold,Med,Med,Pos,40.5
28,GOOGL,Alphabet Inc.,Communication Services,Lg Cap,Med,No,No,Yes,Yes,Yes,Yes,Hi,Lo,Pos,Up,Hi,Buy,Buy,Lo,Hi,Pos,11.2
29,HLX,"Helix Energy Solutions Group, Inc.",Energy,Sm Cap,Med,No,No,Yes,No,Yes,Yes,Med,Med,Neg,Up,Sm,Buy,Hold,Med,Med,Pos,15.2
30,IBM,International Business Machines Corporation,Technology,Lg Cap,Med,Yes,No,Yes,No,Yes,No,Hi,Lo,Pos,Up,Hi,Buy,Sell,Hi,Med,Pos,0.3
31,INOD,Innodata Inc.,Technology,Sm Cap,Low,No,No,Yes,No,Yes,Yes,Lo,Med,Neg,Up,Sm,Hold,Sell,Hi,Lo,Neg,-62.1
32,INTC,Intel Corporation,Technology,Lg Cap,Med,Yes,No,Yes,No,Yes,Yes,Hi,Lo,Pos,Down,Hi,Hold,Hold,Med,Hi,Neg,-3.6
33,INUV,"Inuvo, Inc.",Communication Services,Mic Cap,Low,No,No,Yes,Yes,Yes,No,Lo,Lo,Neg,Down,Sm,Buy,Sell,Hi,Lo,Pos,200
34,JD,"JD.com, Inc.",Consumer Cyclical,Lg Cap,Med,Yes,Yes,Yes,Yes,Yes,Yes,Hi,Lo,Pos,Down,Hi,Buy,Hold,Med,Med,Pos,51.2
35,JNJ,Johnson & Johnson,Healthcare,Lg Cap,Med,Yes,No,Yes,Yes,Yes,Yes,Hi,Lo,Pos,Down,Hi,Buy,Hold,Med,Hi,Pos,8
36,JPM,JPMorgan Chase & Co.,Financial,Lg Cap,Med,Yes,No,No,Yes,No,Yes,Hi,Lo,Pos,Up,Hi,Buy,Buy,Lo,Med,Pos,7.6
37,KLAC,KLA Corporation,Technology,Lg Cap,Med,Yes,Yes,Yes,Yes,Yes,Yes,Med,Lo,Pos,Up,Med,Buy,Hold,Med,Lo,Pos,1.4
38,MARK,"Remark Holdings, Inc.",Technology,Mic Cap,Low,No,No,No,No,No,No,Lo,Hi,Neg,Down,Sm,Hold,Sell,Hi,Lo,Pos,0
39,META,"Meta Platforms, Inc.",Communication Services,Lg Cap,Med,No,No,Yes,Yes,Yes,Yes,Hi,Lo,Pos,Up,Hi,Buy,Buy,Lo,Hi,Pos,11.4
40,MSFT,Microsoft Corporation,Technology,Mg Cap,Med,Yes,Yes,Yes,Yes,Yes,Yes,Hi,Lo,Pos,Up,Hi,Buy,Buy,Lo,Hi,Pos,14.3
41,MSTR,MicroStrategy Incorporated,Technology,Mid Cap,Low,No,No,No,Yes,Yes,No,Lo,Hi,Neg,Up,Sm,Buy,Hold,Med,Lo,Neg,-2.1
42,MU,"Micron Technology, Inc.",Technology,Lg Cap,Low,Yes,Yes,Yes,Yes,Yes,Yes,Med,Lo,Neg,Up,Med,Buy,Hold,Med,Hi,Pos,5.7
43,NFLX,"Netflix, Inc.",Communication Services,Lg Cap,Med,No,No,Yes,Yes,Yes,Yes,Hi,Lo,Pos,Up,Med,Buy,Buy,Lo,Med,Pos,5.6
44,NOW,"ServiceNow, Inc.",Technology,Lg Cap,Hi,No,Yes,Yes,Yes,Yes,Yes,Med,Lo,Pos,Up,Med,Buy,Buy,Lo,Med,Pos,7
45,NVDA,NVIDIA Corporation,Technology,Lg Cap,Hi,Yes,No,Yes,Yes,Yes,Yes,Hi,Lo,Pos,Up,Med,Buy,Buy,Lo,Hi,Pos,7.5
46,NVTA,Invitae Corporation,Healthcare,Sm Cap,Low,No,No,Yes,No,Yes,Yes,Lo,Hi,Neg,Down,Sm,Hold,Sell,Hi,Med,Pos,47.7
47,OBLG,"Oblong, Inc.",Technology,Mic Cap,Low,No,No,No,No,No,No,Lo,Lo,Neg,Down,Sm,Buy,Sell,Hi,Lo,Pos,1100
48,ORCL,Oracle Corporation,Technology,Lg Cap,Med,Yes,Yes,Yes,Yes,Yes,Yes,Hi,Lo,Pos,Up,Hi,Buy,Hold,Med,Med,Pos,5.9
49,PANW,"Palo Alto Networks, Inc.",Technology,Lg Cap,Hi,No,Yes,Yes,No,Yes,Yes,Med,Med,Pos,Up,Med,Buy,Buy,Lo,Med,Neg,-0.6
50,PATH,UPath Inc.,Technology,Mid Cap,Hi,No,Yes,Yes,Yes,Yes,Yes,Med,Med,Neg,Down,Sm,Buy,Hold,Med,Med,Pos,4.2
51,PLTR,Palantir Technologies Inc.,Technology,Lg Cap,Hi,No,Yes,Yes,Yes,Yes,Yes,Med,Med,Neg,Up,Sm,Hold,Buy,Lo,Hi,Neg,-41.9
52,PRO,"PROS Holdings, Inc.",Technology,Sm Cap,Hi,No,Yes,Yes,No,Yes,Yes,Lo,Med,Neg,Up,Sm,Buy,Sell,Hi,Lo,Pos,6.4
53,QCOM,QUALCOMM Incorporated,Technology,Lg Cap,Med,Yes,Yes,Yes,Yes,No,Yes,Hi,Lo,Pos,Down,Hi,Buy,Sell,Hi,Med,Pos,3.2
54,QUIK,QuickLogic Corporation,Technology,Mic Cap,Hi,No,Yes,Yes,Yes,Yes,Yes,Lo,Lo,Neg,Up,Sm,Buy,Sell,Hi,Lo,Pos,87.2
55,S,"SentinelOne, Inc.",Technology,Mid Cap,Low,No,No,Yes,Yes,Yes,Yes,Lo,Med,Neg,Down,Sm,Buy,Sell,Hi,Med,Pos,7.3
56,SAP,SAP SE,Technology,Lg Cap,Med,Yes,No,Yes,No,Yes,Yes,Hi,Lo,Pos,Up,Hi,Buy,Hold,Med,Lo,Pos,11.5
57,SNOW,Snowflake Inc.,Technology,Lg Cap,Hi,No,No,Yes,Yes,Yes,Yes,Med,Med,Neg,Up,Med,Buy,Buy,Lo,Med,Pos,13.4
58,SNPS,"Synopsys, Inc.",Technology,Lg Cap,Hi,No,Yes,Yes,Yes,Yes,Yes,Med,Lo,Pos,Up,Med,Buy,Hold,Med,Lo,Pos,2.8
59,SOUN,"SoundHound AI, Inc.",Technology,Sm Cap,Low,No,No,Yes,Yes,Yes,Yes,Lo,Hi,Neg,Down,Sm,Buy,Sell,Hi,Hi,Pos,146.9
60,SPHR,Sphere Entertainment Co.,Communication Services,Sm Cap,Med,No,No,Yes,No,Yes,Yes,Med,Hi,Neg,Up,Sm,Buy,Hold,Med,Lo,Neg,-38.6
61,SPLK,Splunk Inc.,Technology,Lg Cap,Med,No,Yes,Yes,No,Yes,Yes,Med,Lo,Neg,Up,Med,Buy,Hold,Med,Lo,Pos,11.7
62,STIX,"Semantix, Inc.",Technology,Mic Cap,Low,No,No,Yes,No,Yes,Yes,Lo,Lo,Neg,Down,Sm,Hold,Sell,Hi,Lo,Pos,123.7
63,SYM,Symbotic Inc.,Industrials,Lg Cap,Hi,No,Yes,Yes,Yes,Yes,Yes,Lo,Hi,Neg,Up,Sm,Buy,Sell,Hi,Med,Neg,-26.5
64,TSLA,"Tesla, Inc.",Consumer Cyclical,Lg Cap,Hi,No,Yes,Yes,Yes,Yes,Yes,Hi,Med,Pos,Down,Hi,Buy,Buy,Lo,Hi,Neg,-9.7
65,TSM,Taiwan Semiconductor Manufacturing Company Limited,Technology,Lg Cap,Med,Yes,Yes,Yes,Yes,Yes,Yes,Hi,Lo,Pos,Up,Hi,Buy,Buy,Lo,Med,Pos,13.8
66,TTWO,"Take-Two Interactive Software, Inc.",Communication Services,Lg Cap,Med,No,No,Yes,No,Yes,Yes,Med,Lo,Neg,Up,Med,Buy,Hold,Med,Med,Pos,0.2
67,TXN,Texas Instruments Incorporated,Technology,Lg Cap,Med,Yes,Yes,Yes,Yes,Yes,Yes,Med,Lo,Pos,Down,Med,Buy,Sell,Hi,Med,Pos,3.1
68,UBER,"Uber Technologies, Inc.",Technology,Lg Cap,Hi,No,Yes,Yes,No,Yes,Yes,Hi,Lo,Neg,Up,Med,Buy,Hold,Med,Hi,Pos,12.7
69,UPST,"Upstart Holdings, Inc.",Financial,Mid Cap,Hi,No,No,Yes,No,Yes,Yes,Lo,Hi,Neg,Up,Sm,Hold,Buy,Lo,Hi,Neg,-68.2
70,VERI,"Veritone, Inc.",Technology,Mic Cap,Low,No,Yes,Yes,Yes,Yes,Yes,Lo,Hi,Neg,Down,Sm,Hold,Sell,Hi,Lo,Pos,5.8
71,VRSK,"Verisk Analytics, Inc.",Industrials,Lg Cap,Hi,Yes,Yes,Yes,Yes,Yes,Yes,Med,Med,Pos,Up,Med,Buy,Hold,Med,Med,Pos,1.6
72,XOM,Exxon Mobil Corporation,Energy,Lg Cap,Med,Yes,Yes,No,Yes,No,Yes,Hi,Lo,Pos,Up,Hi,Buy,Hold,Med,Hi,Pos,15.4
